name,language,stars,forks,open_issues,size_kb,has_wiki,created_at
public-apis,Python,442208,48454,1415,5888,FALSE,2016-03-20T23:49:42Z
free-programming-books,Python,390420,66440,79,21413,FALSE,2013-10-11T06:50:37Z
system-design-primer,Python,353564,56767,551,11277,TRUE,2017-02-26T16:15:28Z
awesome-python,Python,303405,28106,18,5728,FALSE,2014-06-27T21:00:06Z
Python,Python,222020,50764,954,16472,TRUE,2016-07-16T09:44:01Z
hermes-agent,Python,196033,34474,21539,347453,TRUE,2025-07-22T22:22:28Z
AutoGPT,Python,184998,46136,440,619625,TRUE,2023-03-16T09:21:07Z
yt-dlp,Python,171160,14430,2544,60999,TRUE,2020-10-26T04:22:55Z
stable-diffusion-webui,Python,163770,30376,2491,36552,TRUE,2022-08-22T14:05:26Z
HelloGitHub,Python,161753,12187,442,8987,FALSE,2016-05-04T06:24:11Z
transformers,Python,161670,33536,2437,514460,TRUE,2018-10-29T13:56:00Z
markitdown,Python,155120,10760,852,4285,TRUE,2024-11-13T19:56:40Z
skills,Python,152091,17930,968,3942,FALSE,2025-09-22T15:53:31Z
langflow,Python,149790,9287,967,1353842,TRUE,2023-02-08T22:28:03Z
open-webui,Python,142010,20409,409,376632,TRUE,2023-10-06T22:08:27Z
youtube-dl,Python,140522,10677,4124,65510,FALSE,2010-10-31T14:35:07Z
langchain,Python,139563,23126,423,574489,FALSE,2022-10-17T02:58:36Z
claude-code,Python,132999,21511,8949,28587,FALSE,2025-02-22T17:41:21Z
ComfyUI,Python,117383,13728,4129,90952,TRUE,2023-01-17T03:15:56Z
awesome-llm-apps,Python,114856,17040,12,209258,TRUE,2024-04-29T05:30:25Z
spec-kit,Python,113174,9985,385,9728,FALSE,2025-08-21T22:54:31Z
DeepSeek-V3,Python,103753,16734,256,1768,FALSE,2024-12-26T09:52:40Z
whisper,Python,102927,12553,128,4132,FALSE,2022-09-16T20:02:54Z
pytorch,Python,100832,28035,18344,1423208,TRUE,2016-08-13T05:26:41Z
browser-use,Python,99295,11087,307,33071,FALSE,2024-10-31T16:00:56Z
fastapi,Python,99288,9445,91,51367,FALSE,2018-12-08T08:21:47Z
thefuck,Python,97360,3949,453,4043,TRUE,2015-04-08T15:08:04Z
Deep-Live-Cam,Python,93906,13695,59,156145,TRUE,2023-09-24T13:19:31Z
ui-ux-pro-max-skill,Python,93015,9727,193,3949,FALSE,2025-11-30T11:36:31Z
MoneyPrinterTurbo,Python,89303,12833,32,533285,TRUE,2024-03-11T02:57:34Z
django,Python,87866,33861,450,280620,FALSE,2012-04-28T02:47:18Z
core,Python,87779,37694,3355,839227,FALSE,2013-09-17T07:29:48Z
manim,Python,87686,7317,494,76625,TRUE,2015-03-22T18:50:58Z
autoresearch,Python,87344,12644,194,530,TRUE,2026-03-06T22:00:43Z
TradingAgents,Python,86916,16798,307,4999,TRUE,2024-12-28T03:31:08Z
sherlock,Python,85128,9949,292,18607,TRUE,2018-12-24T14:30:48Z
vllm,Python,83180,18155,5406,223305,FALSE,2023-02-09T11:23:20Z
ragflow,Python,83023,9596,3053,129371,FALSE,2023-12-12T06:13:13Z
devops-exercises,Python,82796,19558,47,8007,TRUE,2019-10-03T17:31:21Z
PaddleOCR,Python,82793,10810,235,1953122,FALSE,2020-05-08T10:38:16Z
funNLP,Python,81323,15241,49,174188,TRUE,2018-08-21T11:20:39Z
PayloadsAllTheThings,Python,78476,17093,29,23260,FALSE,2016-10-18T07:29:07Z
d2l-zh,Python,78403,12272,130,316965,FALSE,2017-08-23T04:40:24Z
models,Python,77664,45026,1290,659842,TRUE,2016-02-05T01:15:20Z
hackingtool,Python,77571,8794,109,2486,TRUE,2020-04-11T09:21:31Z
OpenHands,Python,77538,9855,334,342738,TRUE,2024-03-13T03:33:31Z
cpython,Python,73260,34744,9300,833872,FALSE,2017-02-10T19:23:51Z
screenshot-to-code,Python,72941,8981,122,10265,TRUE,2023-11-14T17:53:32Z
odysseus,Python,72928,9344,1315,31900,FALSE,2026-05-31T14:05:51Z
awesome-machine-learning,Python,72892,15489,7,2685,FALSE,2014-07-15T19:11:19Z
LlamaFactory,Python,72259,8843,1050,13485,FALSE,2023-05-28T10:09:12Z
flask,Python,71644,16880,4,12008,FALSE,2010-04-06T11:11:59Z
deer-flow,Python,71418,9683,953,38480,FALSE,2025-05-07T02:50:19Z
gpt_academic,Python,70896,8363,327,72756,TRUE,2023-03-20T09:05:13Z
OpenBB,Python,69321,6986,74,2432666,FALSE,2020-12-20T10:46:38Z
ansible,Python,68972,24096,779,265177,FALSE,2012-03-06T14:58:02Z
MetaGPT,Python,68861,8806,130,184037,TRUE,2023-06-30T09:04:55Z
crawl4ai,Python,68743,7018,101,150701,TRUE,2024-05-09T09:48:50Z
graphify,Python,68612,6930,357,4393,TRUE,2026-04-03T15:49:07Z
MinerU,Python,67881,5714,25,155114,FALSE,2024-02-29T08:52:34Z
learn-claude-code,Python,67205,10921,74,1709,TRUE,2025-06-29T15:34:15Z
annotated_deep_learning_paper_implementations,Python,66947,6708,32,156370,TRUE,2020-08-25T02:29:34Z
unsloth,Python,66700,5987,1201,123253,FALSE,2023-11-29T16:50:09Z
MiroFish,Python,66683,10396,321,16526,TRUE,2025-11-26T04:23:02Z
scikit-learn,Python,66358,27071,2084,186098,TRUE,2010-08-17T09:43:38Z
gpt4free,Python,66338,13573,2,171614,TRUE,2023-03-29T17:00:43Z
30-Days-Of-Python,Python,65281,12243,145,30842,TRUE,2019-11-19T17:24:16Z
localstack,Python,65060,4739,0,57561,FALSE,2016-10-25T23:48:03Z
awesome-claude-skills,Python,64977,7198,827,4519,TRUE,2025-10-17T07:15:01Z
Scrapling,Python,64584,6330,9,8737,TRUE,2024-10-13T20:29:53Z
keras,Python,64094,19735,193,53896,TRUE,2015-03-28T00:35:42Z
pathway,Python,62944,1676,39,145264,FALSE,2022-11-27T13:01:14Z
scrapy,Python,62296,11658,616,30542,TRUE,2010-02-22T02:01:14Z
docling,Python,61748,4318,927,283380,FALSE,2024-07-09T07:50:26Z
openpilot,Python,61399,10990,123,1151163,TRUE,2016-11-24T01:33:30Z
ai-hedge-fund,Python,60195,10651,142,3360,TRUE,2024-11-29T16:30:01Z
hello-agents,Python,60031,7383,151,230463,TRUE,2025-09-07T09:50:24Z
Real-Time-Voice-Cloning,Python,59921,9407,171,369730,TRUE,2019-05-26T08:56:15Z
nanoGPT,Python,59783,10315,349,981,TRUE,2022-12-28T00:51:12Z
TrendRadar,Python,59563,24683,45,32200,FALSE,2025-04-28T11:42:16Z
llama,Python,59468,9790,520,1150,FALSE,2023-02-14T09:29:12Z
autogen,Python,59040,8906,891,148692,FALSE,2023-08-18T11:43:45Z
mem0,Python,58795,6763,332,57634,FALSE,2023-06-20T08:58:36Z
GPT-SoVITS,Python,58763,6429,874,15430,TRUE,2024-01-14T18:05:21Z
ultralytics,Python,58512,11201,308,57908,TRUE,2022-09-11T16:39:45Z
yolov5,Python,57532,17464,42,17842,TRUE,2020-05-18T03:45:11Z
private-gpt,Python,57280,7611,5,196183,FALSE,2023-05-02T09:15:31Z
you-get,Python,56838,9730,384,3538,TRUE,2012-08-20T15:53:36Z
rich,Python,56644,2185,352,50570,TRUE,2019-11-10T15:28:09Z
OpenManus,Python,56585,9847,526,4472,TRUE,2025-03-06T14:08:14Z
face_recognition,Python,56510,13700,837,103959,TRUE,2017-03-03T21:52:39Z
mempalace,Python,55820,7236,579,21249,FALSE,2026-04-05T01:12:07Z
faceswap,Python,55289,13364,9,205403,FALSE,2017-12-19T09:44:13Z
gpt-engineer,Python,55205,7307,71,20474,FALSE,2023-04-29T12:52:15Z
n8n-workflows,Python,55183,7319,29,52538,TRUE,2025-05-14T08:43:59Z
nanochat,Python,55155,7578,109,1965,FALSE,2025-10-13T13:46:35Z
requests,Python,54045,9975,229,13552,TRUE,2011-02-13T18:38:17Z
crewAI,Python,53802,7527,472,254125,FALSE,2023-10-27T03:26:59Z
odoo,Python,52472,32847,9778,16111237,TRUE,2014-05-13T15:38:58Z
minimind,Python,51901,6677,42,38342,TRUE,2024-07-27T04:34:12Z
